wardId,lat,lng
27161,14.4564844,109.0334318
26905,14.5273545,108.985882
4889,13.955888,108.0035567
4633,14.0059487,108.042083
23321,13.7782174,109.2415233
24089,13.7839683,109.1701666
3353,13.8367482,109.2712585
23833,13.7257076,109.2058436
23577,13.6931288,109.1285472
26393,14.5760627,109.0037125
5145,14.020733,107.9946667
13850,18.5564451,105.6999122
2330,18.3035933,105.8936224
7706,18.1103908,106.3346061
794,18.0102862,106.4288088
14106,18.5102839,105.6999122
2074,18.0414178,106.3346061
2586,18.3486915,105.9053689
11034,18.3499675,105.884301
1818,18.060332,106.3817021
5136,16.4374633,107.6067354
272,16.521088,107.5919395
4112,16.5448356,107.5801033
3344,16.4900681,107.5564326
6672,16.4220519,107.6866471
2320,16.5033741,107.4676861
3088,16.4064,107.5386809
2576,16.4941388,107.5090974
4368,16.5118231,107.63337
528,16.5111325,107.2429976
1040,16.6479616,107.3730563
1296,16.6894036,107.4203669
1552,16.6305481,107.5090974
784,16.486707,107.3967105
6928,16.2764731,107.5978577
3600,16.4637117,107.5908628
6416,16.4209754,107.63337
3856,16.5571848,107.6508649
4880,16.4565368,107.5830623
5392,16.4085263,107.5801033
4624,16.4767008,107.612654
8219,20.9089361,106.0934117
1307,20.6426568,106.0478532
7963,20.9459351,106.0698963
1051,20.6680574,106.0698963
795,20.6934481,106.0463837
10523,20.4888186,106.3110622
8475,20.9402703,106.1286901
11291,20.4790793,106.3522658
11035,20.4505114,106.3426274
10779,20.4285632,106.3386719
11547,20.4194394,106.3110622
5661,22.3934779,103.4584022
5405,22.3875119,103.4771899
4126,11.5614283,107.8465394
4382,11.6258141,107.6925674
4638,11.4916478,107.7399345
4894,11.5235649,107.8406158
19742,12.0582519,107.7873095
29470,10.9667928,108.042083
3102,11.9327936,108.3563972
20254,11.9632863,107.728092
29214,10.9725767,108.1250791
24862,10.6575765,107.7747887
3358,11.9744257,108.4691492
3870,12.0609635,108.4038672
29726,10.9804603,108.2614775
19998,12.0133492,107.63337
30238,10.9281215,108.0983994
29982,10.9378756,108.1606557
25118,10.6708145,107.7340132
30494,10.8114039,108.0124469
2846,11.8943975,108.439474
3614,11.8762654,108.5463165
16671,21.846805,106.763273
16415,21.8471067,106.8296372
16159,21.8286617,106.7293611
15903,21.8852163,106.7411559
12320,21.6646256,104.9038451
15136,22.4196115,104.0188436
4640,21.5870966,104.5203776
15392,22.4895917,104.0188436
12064,21.7598177,104.8804893
4128,21.5922885,104.4781532
21792,22.3404698,103.8564085
4384,21.6051176,104.5305715
11552,21.6894617,104.9184443
11808,21.7175023,104.8980058
32801,18.7916127,105.7175138
9249,19.2747793,105.6764461
9761,19.2264732,105.6999122
9505,19.2686086,105.7468535
26913,19.2812956,105.4009508
26657,19.2898498,105.4360963
29217,18.6801484,105.6705801
