so_thu_tu,ten_on_vi_hanh_chinh,tinh_thanh_pho,chu_thich,nam_thanh_lap,dan_so_nguoi,dien_tich_km,mat_o_dan_so_nguoi_km,so_vhc_cap_xa
220,Gò Công Tây,Tiền Giang,,1979.0,127132.0,1845.0,689.0,13.0
221,Gò Dầu,Tây Ninh,,1955.0,152757.0,2600.0,588.0,9.0
222,Gò Quao,Kiên Giang,,1920.0,132508.0,4395.0,301.0,11.0
223,Gò Vấp,Thành phố Hồ Chí Minh,quận,,676899.0,197.0,34.36,12.0
224,Hà Đông,Hà Nội,quận,,397854.0,496.0,8.021,15.0
225,Hà Giang,Hà Giang,thành phố,,55559.0,1335.0,416.0,8.0
226,Hạ Hòa,Phú Thọ,,,104997.0,3415.0,307.0,20.0
227,Hạ Lang,Cao Bằng,,,25439.0,4565.0,56.0,13.0
228,Hạ Long,Quảng Ninh,thành phố,,300267.0,11191.0,268.0,32.0
229,Hà Quảng,Cao Bằng,,1893.0,59467.0,8110.0,73.0,21.0
230,Hà Tiên,Kiên Giang,thành phố,,81576.0,1005.0,812.0,7.0
231,Hà Tĩnh,Hà Tĩnh,thành phố,,104037.0,566.0,1.838,27.0
232,Hà Trung,Thanh Hóa,,,118826.0,2438.0,487.0,19.0
233,Hải An,Hải Phòng,quận,,144256.0,976.0,1.477,8.0
234,Hai Bà Trưng,Hà Nội,quận,,303586.0,103.0,29.474,15.0
235,Hải Châu,Đà Nẵng,quận,,201522.0,233.0,8.649,9.0
236,Hải Dương,Hải Dương,thành phố,,299638.0,1116.0,2.684,24.0
237,Hải Hà,Quảng Ninh,,2001.0,61566.0,5116.0,120.0,11.0
238,Hải Hậu,Nam Định,,1888.0,262901.0,2281.0,1.153,24.0
239,Hải Lăng,Quảng Trị,,,79533.0,4251.0,187.0,15.0
240,Hàm Tân,Bình Thuận,,1916.0,70697.0,7391.0,96.0,10.0
241,Hàm Thuận Bắc,Bình Thuận,,1982.0,184131.0,13445.0,137.0,17.0
242,Hàm Thuận Nam,Bình Thuận,,1982.0,116544.0,10584.0,110.0,13.0
243,Hàm Yên,Tuyên Quang,,1822.0,121342.0,9006.0,135.0,18.0
244,Hậu Lộc,Thanh Hóa,,1821.0,176418.0,1437.0,1.228,22.0
245,Hiệp Đức,Quảng Nam,,1985.0,37127.0,4969.0,75.0,10.0
246,Hiệp Hòa,Bắc Giang,,,247460.0,2060.0,1.201,19.0
247,Hòa An,Cao Bằng,,,52762.0,6060.0,87.0,15.0
248,Hòa Bình,Hòa Bình,thành phố,,135718.0,3487.0,389.0,19.0
249,Hòa Bình,Bạc Liêu,,2005.0,117753.0,3760.0,313.0,8.0
250,Hoa Lư,Ninh Bình,thành phố,2025.0,319125.0,1503.0,2.124,20.0
251,Hòa Thành,Tây Ninh,thị xã,,147666.0,829.0,1.781,10.0
252,Hòa Vang,Đà Nẵng,,,145749.0,7332.0,199.0,11.0
253,Hoài Ân,Bình Định,,,85700.0,7532.0,114.0,15.0
254,Hoài Đức,Hà Nội,,,262978.0,850.0,3.094,20.0
255,Hoài Nhơn,Bình Định,thị xã,,212063.0,4208.0,504.0,17.0
256,Hoàn Kiếm,Hà Nội,quận,,135618.0,53.0,25.588,18.0
257,Hoằng Hóa,Thanh Hóa,,,233043.0,2038.0,1.143,36.0
258,Hoàng Mai,Hà Nội,quận,,506347.0,403.0,12.564,14.0
259,Hoàng Mai,Nghệ An,thị xã,,113360.0,1698.0,668.0,10.0
260,Hoàng Sa,Đà Nẵng,huyện đảo,1982.0,0.0,3050.0,0.0,0.0
261,Hoàng Su Phì,Hà Giang,,,66683.0,6324.0,105.0,24.0
